RunId,RunStart,FlowFile,FlowPath,Status,ExitCode,DurationSec
"ef7a92e5","2026-03-05T10:21:18","at_birthday_or_relationship.yaml","C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml","PASSED","0","184.27"
"3140f6f9","2026-03-05T10:45:32","at_birthday_or_relationship.yaml","C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml","FAILED","1","6.53"
"196d3ae5","2026-03-05T10:46:15","at_birthday_or_relationship.yaml","C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml","PASSED","0","132.64"
"6cbd79d9","2026-03-05T10:48:31","at_birthday_or_relationship.yaml","C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml","PASSED","0","132.7"
"87ae07ee","2026-03-05T10:50:47","at_birthday_or_relationship.yaml","C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml","PASSED","0","54.72"
"1afb0066","2026-03-05T10:51:45","at_birthday_or_relationship.yaml","C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml","PASSED","0","54.58"
"9edb5304","2026-03-05T10:52:43","at_birthday_or_relationship.yaml","C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml","PASSED","0","61.41"
"7bcdbd04","2026-03-05T11:03:52","at_birthday_or_relationship.yaml","C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml","PASSED","0","147.11"
"c6def618","2026-03-05T11:06:23","at_birthday_or_relationship.yaml","C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml","PASSED","0","146.67"
"e8e2ab7a","2026-03-05T11:08:54","at_birthday_or_relationship.yaml","C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml","PASSED","0","143.09"
"1f3fa4ab","2026-03-05T11:11:21","at_birthday_or_relationship.yaml","C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml","PASSED","0","153.82"
"137875fb","2026-03-05T11:14:00","at_birthday_or_relationship.yaml","C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml","PASSED","0","176.57"
